Name,Diameter,a
(135024) 2001 KO76,185,44
(135742) 2002 PB171,185,43.9
(385191) 1997 RT5,185,41.5
(444025) 2004 HJ79,185,44.3
(505477) 2013 UM15,185,45
(524179) 2001 FQ185,185,47.8
(524747) 2003 UJ292,185,55.4
(525461) 2005 EN302,185,45.2
(527603) 2007 VJ305,185,191
(593616) 2015 RG277,185,43.2
(579062) 2014 KF113,184,43
(505447) 2013 SQ99,180,44.4
(523711) 2014 JH80,180,43.8
(583751) 2016 NZ90,180,48
(508788) 2000 CQ114,179,45.9
(533210) 2014 DT143,179,103
88611 Teharonhiawako,178,44.1
(385437) 2003 GH55,178,44.3
(469610) 2004 HF79,177,43.5
(530839) 2011 UK411,177,42.4
(19255) 1994 VK8,176,42.6
38083 Rhadamanthus,176,39
(119070) 2001 KP77,176,44.1
(181874) 1999 HW11,176,53.1
(385533) 2004 QD29,176,43.2
(434194) 2003 FK127,176,42.7
(444018) 2004 EU95,176,44.5
(500835) 2013 GN137,176,44.4
(529938) 2010 TM182,176,39.3
(530941) 2011 XJ4,176,45.7
(560414) 2015 FQ345,176,72.1
(602572) 2014 MD70,176,49.9
(523766) 2014 WF510,175,39.4
(578834) 2014 GF54,174,39.6
(533208) 2014 DQ143,172,77.9
(524366) 2001 XR254,171,42.7
(543435) 2014 GC54,171,39.4
(38084) 1999 HB12,170,55.8
(568573) 2004 HN79,170,45.9
(275809) 2001 QY297,169,44.2
(531016) 2012 BZ154,169,76
(15883) 1997 CR29,168,46.9
(69987) 1998 WA25,168,42.3
(119069) 2001 KN77,168,39.5
(134210) 2005 PQ21,168,62.9
(148112) 1999 RA216,168,44
(182222) 2000 YU1,168,43.4
(427614) 2003 SR422,168,39.9
(455171) 1999 OM4,168,46.2
(455209) 2001 KT76,168,45.5
(471155) 2010 GF65,168,33.7
(495190) 2012 VS113,168,55.3
(501105) 2013 SA87,168,41.7
(508770) 1995 WY2,168,46.2
(523652) 2011 LZ28,168,63.8
(523700) 2014 GM54,168,39.9
(523771) 2014 XP40,168,102
(535168) 2014 XU40,168,39.2
(536921) 2015 FO345,168,40.4
(550564) 2012 PU45,168,44.1
(594994) 2000 QA243,168,39.5
(469704) 2005 EZ296,166,39.5
(505476) 2013 UL15,166,46.1
(118228) 1996 TQ66,165,39.3
(523751) 2014 UU224,165,39.4
(127546) 2002 XU93,164,66.8
(138537) 2000 OK67,164,46.6
(558095) 2014 WA536,164,55.1
(316179) 2010 EN65,163,30.5
(523703) 2014 HX199,163,39.8
42355 Typhon,162,37.7
(80806) 2000 CM105,162,42
(534314) 2014 SJ349,162,42.2
(545293) 2011 FX62,162,47.9
(555426) 2013 XD26,162,40.4
(88267) 2001 KE76,161,43.3
(126619) 2002 CX154,161,71.6
(129772) 1999 HR11,161,43.9
(135571) 2002 GG32,161,56.1
(138628) 2000 QM251,161,44.7
(306792) 2001 KQ77,161,39.9
(385458) 2003 SP317,161,46.2
(385607) 2005 EO297,161,62.7
(437871) 2001 FN185,161,42.8
(500834) 2013 GK137,161,39.4
(531075) 2012 DY98,161,70.8
(535025) 2014 WT509,161,47.2
(552679) 2010 JH210,161,39.6
(592149) 2014 OR394,161,146
(577627) 2013 HZ156,160,41
(135182) 2001 QT322,159,37
(533398) 2014 GA54,159,41.4
(535229) 2014 YG50,159,39.2
(469707) 2005 GB187,158,39.6
(443843) 2001 FO185,156,46.5
15760 Albion,154,43.9
(15875) 1996 TP66,154,39.2
(76803) 2000 PK30,154,38.9
(137295) 1999 RB216,154,47.8
(184212) 2004 PB112,154,108
(308460) 2005 SC278,154,34.8
(415720) 1999 RU215,154,43.2
(470309) 2007 JK43,154,46.7
(505446) 2013 SP99,154,43.7
(523899) 1997 CV29,154,42.2
(524613) 2003 QW113,154,51.6
(524834) 2003 YL179,154,38.6
(525816) 2005 SF278,154,43.8
(532039) 2013 FR28,154,43.9
(532184) 2013 OR11,154,79
(534161) 2014 RQ63,154,39.1
(535032) 2014 WP510,154,39.3
(535167) 2014 XT40,154,39.2
(119067) 2001 KP76,153,43.9
(15807) 1994 GV9,152,43.7
(525462) 2005 EO304,152,45.7
(535019) 2014 WE509,152,36.3
(44594) 1999 OX3,151,32.5
(181871) 1999 CO153,151,43.4
(531074) 2012 DX98,151,47.9
(535024) 2014 WR509,151,39.3
(523701) 2014 HT199,150,39.5
(535169) 2014 XX40,150,79.5
(533562) 2014 JQ80,149,39.6
(60621) 2000 FE8,148,55.3
(556130) 2014 KV101,148,39.5
(47932) 2000 GN171,147,39.7
(69988) 1998 WA31,147,54.9
(85627) 1998 HP151,147,44.4
(95625) 2002 GX32,147,53.7
(131696) 2001 XT254,147,52.7
(160091) 2000 OL67,147,45.4
(181867) 1999 CV118,147,52.5
(181902) 1999 RD215,147,125
(182926) 2002 FU6,147,45.9
(469362) 2001 KB77,147,40
(491768) 2012 VV113,147,46.2
(500829) 2013 GT136,147,42.6
(500836) 2013 GQ137,147,46
(500837) 2013 GT137,147,44.9
(500883) 2013 JJ65,147,39.5
(500886) 2013 JN65,147,41
(506479) 2003 HB57,147,165
(511554) 2014 UL225,147,46.2
(511555) 2014 UM225,147,44.4
(523955) 1998 UU43,147,36.3
(555591) 2014 AF61,147,45.1
(578992) 2014 JL80,147,39.6
(127871) 2003 FC128,146,34.9
(139775) 2001 QG298,146,39.6
(560039) 2015 FP36,145,39.6
(500880) 2013 JJ64,143,48
385446 Manwë,142,44
(471325) 2011 KT19,142,35.7
(181868) 1999 CG119,141,49.3
(20161) 1996 TR66,140,48
(24978) 1998 HJ151,140,43.7
(385527) 2004 OK14,140,44.3
(385528) 2004 OR15,140,56.8
(468422) 2000 FA8,140,44.2
(523615) 2006 UO321,140,43.6
(524457) 2002 FW6,140,36.5
(535017) 2014 WY508,140,99.7
(535988) 2015 BU518,140,44
(602715) 2014 OO394,140,57.6
(126155) 2001 YJ140,138,39.2
(134860) 2000 OJ67,138,43.2
469705 ǂKá̦gára,138,43.8
(523704) 2014 HB200,138,39.6
(120181) 2003 UR292,136,32.3
(182223) 2000 YC2,136,58.3
(456826) 2007 TH422,136,39.2
(469708) 2005 GE187,136,39.7
(24952) 1997 QJ4,135,39.4
(91133) 1998 HK151,134,39.7
(118378) 1999 HT11,134,44.1
(118379) 1999 HC12,134,45.6
(439858) 1999 ON4,134,42.8
(470083) 2006 SG369,134,47.6
(500856) 2013 HT156,134,44.3
