Name,Diameter,"a
(AU)",e,"i
(°)","q
(AU)","Q
(AU)",Class
(545361) 2011 GZ61,295,42.7,0.11,9,37.9,47.5,cubewano (hot)
(535027) 2014 WY509,294,43.8,0.17,12,36.2,51.5,cubewano (hot)
(553137) 2011 BM170,294,55.5,0.33,47,37.3,73.7,SDO
(182397) 2001 QW297,293,51.9,0.24,17,39.5,64.2,res · 4:9
(437915) 2002 GD32,293,44.8,0.13,7,38.9,50.6,res · 5:9
(469333) 2000 PE30,293,54.7,0.35,18,35.7,73.7,SDO
(505448) 2013 SA100,293,46.5,0.16,9,39,54,cubewano (hot)
(523629) 2008 SP266,293,41.2,0.12,20,36.1,46.4,cubewano (hot)
(523642) 2010 SS43,293,45.5,0.22,34,35.6,55.3,other TNO
(523706) 2014 HF200,293,61.7,0.42,10,35.5,87.9,SDO
(523761) 2014 WU509,293,41.3,0.07,20,38.4,44.2,cubewano (hot)
(534074) 2014 QZ441,293,42.2,0.08,7,38.8,45.5,res · 3:5
(535028) 2014 WA510,293,45.4,0.04,2,43.7,47.1,cubewano (cold)
(535991) 2015 BD519,293,55.1,0.35,10,36,74.2,res · 2:5
(536919) 2015 FL345,293,46.2,0.13,5,40.1,52.2,cubewano (hot)
(120216) 2004 EW95,291,39.6,0.32,29,27,52.2,plutino
(505624) 2014 GU53,291,43.7,0.17,24,36,51.3,cubewano (hot)
(559180) 2015 BT518,290,43.6,0.05,8,41.5,45.7,cubewano (hot)
(505679) 2014 WT69,289,47.7,0.08,12,44,51.4,other TNO
(55636) 2002 TX300,286,43.4,0.13,26,37.9,48.9,Haumea
(523646) 2010 VL201,286,36.4,0.04,6,34.8,38,res · 3:4
(523778) 2014 YK50,286,118,0.67,30,39,196,SDO
(150642) 2001 CZ31,285,45,0.12,10,39.8,50.2,cubewano (hot)
(33001) 1997 CU29,280,43.3,0.04,2,41.5,45.1,cubewano (cold)
(523627) 2008 QB43,280,42,0.1,26,37.8,46.2,cubewano (hot)
(531682) 2012 UB178,280,42.6,0.12,9,37.6,47.6,cubewano (hot)
(532026) 2013 EC138,280,47.1,0.13,8,40.9,53.4,cubewano (hot)
(532038) 2013 FB28,280,45.9,0.06,16,43.1,48.8,cubewano (hot)
(535018) 2014 WA509,280,44,0.05,3,41.7,46.4,cubewano (cold)
(547617) 2010 TT195,280,43.3,0.07,16,40.3,46.4,cubewano (hot)
(472232) 2014 FW71,277,43,0.06,14,40.3,45.6,cubewano (hot)
(523765) 2014 WD510,276,57.8,0.34,19,38.2,77.4,SDO
(533206) 2014 DE143,276,43.1,0.02,7,42.3,43.9,cubewano (hot)
(120178) 2003 OP32,274,43.5,0.11,27,38.8,48.2,Haumea
(523702) 2014 HW199,274,46.5,0.18,16,38.1,54.8,cubewano (hot)
(523748) 2014 UP224,274,40.7,0.08,18,37.3,44,other TNO
(592487) 2014 WF509,274,45.2,0.1,7,40.9,49.5,cubewano (hot)
(523716) 2014 KW101,273,41.1,0.09,19,37.5,44.6,cubewano (hot)
47171 Lempo,272,39.6,0.23,8,30.5,48.6,plutino
(523658) 2012 DW98,272,41.1,0.03,19,39.7,42.5,cubewano (hot)
(523793) 2015 OV79,272,40.8,0.09,30,37.3,44.4,other TNO
(40314) 1999 KR16,271,49,0.31,25,33.9,64.1,other TNO
(168703) 2000 GP183,271,39.9,0.08,5,36.8,43,other TNO
(308379) 2005 RS43,271,48,0.2,10,38.3,57.7,twotino
(523774) 2014 XV40,271,60.3,0.42,36,35.1,85.6,SDO
(523776) 2014 YB50,271,41.4,0.09,29,37.6,45.1,cubewano (hot)
(523647) 2010 VV224,269,44.1,0.16,25,37.2,51.1,cubewano (hot)
(523743) 2014 TA86,269,42.3,0.11,9,37.7,46.9,res · 3:5
(26308) 1998 SM165,268,47.7,0.37,14,29.9,65.6,twotino
(145474) 2005 SA278,267,92.4,0.64,16,33.1,152,SDO
(511552) 2014 UE225,267,43.6,0.07,5,40.6,46.6,cubewano (cold)
(523730) 2014 OH394,267,46,0.16,10,38.4,53.5,cubewano (hot)
(533205) 2014 DD143,267,43.7,0.02,2,43,44.4,cubewano (cold)
(535021) 2014 WL509,267,41.3,0.13,15,35.9,46.7,cubewano (hot)
(538691) 2016 FW59,267,43.5,0.07,6,40.5,46.5,cubewano (hot)
(543376) 2014 BE70,267,103,0.62,25,39.1,167,SDO
(592044) 2014 MB70,267,46.9,0.12,9,41.2,52.5,cubewano (hot)
(592064) 2014 NZ65,267,44.4,0.18,29,36.4,52.4,cubewano (hot)
(602716) 2014 OP394,267,66.9,0.45,22,36.6,97.2,SDO
(79983) 1999 DF9,266,46.2,0.14,10,39.8,52.6,cubewano (hot)
(534405) 2014 TW85,266,42.9,0.02,1,42.1,43.8,cubewano (cold)
(86177) 1999 RY215,263,45.6,0.24,22,34.5,56.7,other TNO
(471172) 2010 JC80,263,55.8,0.44,3,31.5,80.2,res · 2:5
(543735) 2014 OS394,263,150,0.75,14,37.1,262,SDO
(531017) 2012 BA155,262,55,0.37,14,34.5,75.5,res · 2:5
(592148) 2014 OM394,261,44.3,0.07,2,41.1,47.5,cubewano (cold)
(470027) 2006 RC103,257,42.2,0.15,17,36,48.4,cubewano (hot)
(523725) 2014 MC70,257,45.5,0.13,8,39.4,51.6,res · 6:11
(554856) 2013 CF229,257,47.5,0.11,9,42.4,52.7,twotino
(530955) 2011 YN79,256,72.8,0.46,26,39.4,106,SDO
(533704) 2014 MZ69,256,46.4,0.2,13,37.2,55.7,other TNO
(119956) 2002 PA149,255,43.9,0.17,4,36.2,51.6,res · 4:7
(385363) 2002 PW170,255,45,0.07,4,41.8,48.2,cubewano (cold)
(408832) 2001 QJ298,255,44.5,0.04,2,42.8,46.1,cubewano (cold)
(470593) 2008 LP17,255,91.6,0.67,14,29.9,153,centaur
(480017) 2014 QB442,255,67.1,0.45,7,36.6,97.5,SDO
(505478) 2013 UT15,255,197,0.78,11,44,349,EDDO
(523699) 2014 GH54,255,59.8,0.38,27,37.2,82.5,SDO
(525815) 2005 SD278,255,55.2,0.28,18,39.8,70.6,SDO
(531684) 2012 UE178,255,43.5,0.05,4,41.2,45.8,cubewano (cold)
(535022) 2014 WN509,255,42.3,0.06,7,39.9,44.6,cubewano (hot)
(534627) 2014 UV224,254,71.4,0.52,4,34,109,res · 3:11
(307463) 2002 VU130,253,39,0.21,1,30.8,47.1,plutino
(508869) 2002 VT130,251,42.2,0.04,1,40.7,43.8,cubewano (cold)
(55638) 2002 VE95,250,39.1,0.28,16,27.9,50.2,plutino
(523683) 2014 CP23,250,52,0.27,29,38.1,65.9,SDO
(523789) 2015 FN345,250,42,0.1,28,37.9,46.1,cubewano (hot)
